ID fagn logMs logMs_e dchi2 chi2
59 0.4 11.25 0.08 8.4 3.8
60 0.4 10.97 0.14 1.5 5.2
61 1.0 8.05 2.53 0.0 9.9
62 0.4 9.17 0.02 16.7 1.5
63 0.6 10.92 0.15 2.1 2.2
64 0.2 10.15 1.12 0.3 7.1
65 0.6 10.24 0.31 0.9 11.0
66 0.4 10.11 0.17 3.6 3.6
67 0.2 10.71 0.02 7.3 5.8
68 0.8 10.68 0.08 10.8 2.1
69 0.4 11.39 0.08 17.2 1.6
70 0.2 10.11 0.02 3.4 7.7
71 0.2 10.9 0.04 3.7 4.8
72 0.0 -inf nan 0.0 -0.0
74 0.4 8.46 0.1 20.3 5.9
75 0.6 10.78 0.16 4.3 7.3
76 0.8 10.95 0.22 9.5 6.7
77 0.4 10.57 0.32 14.6 9.7
78 0.4 10.98 0.03 7.8 5.8
79 0.2 10.5 0.1 4.8 3.5
80 0.2 11.01 0.02 12.3 3.2
81 0.4 10.62 0.18 9.4 13.2
82 0.2 9.62 0.03 4.2 10.7
84 0.2 10.59 0.08 11.5 7.7
85 0.0 -inf nan 0.0 -0.0
86 0.2 10.9 0.1 10.4 2.4
87 0.0 -inf nan 0.0 -0.0
90 0.8 9.9 0.18 1.1 20.9
91 1.0 8.83 2.03 0.0 10.6
92 0.0 -inf nan 0.0 -0.0
93 0.2 9.81 0.03 2.8 3.9
94 0.6 10.77 0.15 6.2 1.8
95 0.4 10.83 0.09 0.1 12.9
96 0.0 -inf nan 0.0 -0.0
97 0.0 10.38 0.02 17.7 5.4
98 0.4 10.39 0.07 3.7 4.8
99 0.4 11.21 0.08 7.1 2.9
100 0.0 9.85 0.02 1.9 8.7
101 0.2 11.1 0.11 4.4 6.0
102 0.2 10.52 0.51 0.8 17.7
103 0.8 10.19 0.09 5.1 10.8
104 0.2 9.87 0.09 2.9 2.2
105 0.2 10.68 0.08 6.7 5.3
106 0.2 10.73 0.1 10.0 5.4
107 0.0 -inf nan 0.0 -0.0
108 0.6 10.24 0.43 0.5 2.8
109 1.0 9.33 1.63 0.0 12.5
110 0.2 10.56 0.02 4.6 5.1
111 0.2 11.2 0.02 12.2 8.0
112 0.0 -inf nan 0.0 -0.0
113 0.4 10.21 0.09 2.9 0.7
114 0.4 11.25 0.03 11.5 3.7
115 0.2 10.82 0.03 8.7 9.6
116 0.4 10.8 0.09 6.5 3.1
117 0.8 11.27 0.08 14.1 6.0
118 0.2 10.62 0.41 1.7 1.2
119 0.4 9.72 0.95 0.3 8.1
120 1.0 7.06 1.34 0.0 21.2
121 1.0 8.82 1.6 0.0 4.4
122 0.2 10.75 0.03 3.5 5.8
123 0.2 11.84 0.03 15.5 5.4
124 0.2 11.05 0.06 9.2 4.7
125 0.4 11.4 0.02 9.2 16.2
126 0.0 -inf nan 0.0 -0.0
128 0.2 11.38 0.09 4.3 5.0
129 0.4 10.81 0.14 8.6 1.8
130 1.0 8.28 1.93 0.0 12.7
131 0.2 10.85 0.38 3.8 1.7
132 0.2 11.33 0.2 2.7 9.4
133 1.0 8.47 1.98 0.0 6.2
134 0.4 9.91 0.37 0.7 26.3
135 0.6 10.31 0.12 4.5 3.4
136 0.0 -inf nan 0.0 -0.0
136 0.2 11.24 0.15 2.9 6.2
137 0.4 9.86 0.13 7.8 4.1
138 0.2 10.1 0.03 4.8 8.9
139 0.0 -inf nan 0.0 -0.0
140 0.6 11.61 0.14 5.1 4.2
141 0.8 10.62 0.32 1.2 6.7
143 0.0 10.34 0.02 0.0 22.1
145 0.6 10.59 0.04 6.5 6.3
146 0.2 11.06 0.17 4.2 3.0
147 0.6 10.21 0.21 1.5 6.1
148 0.8 10.72 0.13 4.6 7.9
150 0.8 9.81 0.81 0.0 4.5
151 0.6 10.17 0.3 1.6 66.1
152 0.4 10.5 0.08 1.7 6.2
153 0.8 10.05 0.02 6.6 5.6
154 0.2 11.15 0.18 5.4 5.2
155 1.0 7.49 2.4 0.0 14.7
157 0.4 10.12 0.08 4.9 5.1
158 0.4 9.63 0.25 0.6 2.2
160 1.0 8.12 2.16 0.0 4.2
161 0.0 -inf nan 0.0 -0.0
163 0.2 9.08 0.23 2.3 2.0
165 0.0 9.69 0.06 2.7 5.6
166 0.4 10.0 0.3 3.7 5.8
167 0.0 10.76 0.06 5.6 5.8
169 0.4 10.6 0.15 3.1 1.3
170 1.0 8.19 2.89 0.0 15.8
171 0.6 11.63 0.32 3.4 10.4
172 0.0 10.81 0.04 0.0 17.9
173 0.2 10.09 0.22 3.2 4.8
174 0.0 -inf nan 0.0 -0.0
175 0.0 10.49 0.03 7.5 6.8
176 0.2 9.75 0.29 0.7 1.9
177 0.8 10.82 0.18 4.3 4.8
179 0.2 10.27 0.05 3.2 2.5
180 0.0 -inf nan 0.0 -0.0
180 0.0 10.15 0.02 0.0 15.5
181 0.8 10.81 0.15 1.8 6.1
182 0.8 10.51 0.07 3.5 11.3
183 0.2 11.05 0.02 9.9 4.8
184 0.2 11.19 0.04 5.5 3.4
185 0.4 10.53 0.12 0.9 8.7
186 0.8 10.59 0.38 5.5 4.0
187 0.4 10.84 0.13 6.0 4.4
188 0.2 10.95 0.02 14.1 5.9
189 0.8 9.8 0.03 9.7 1.6
190 0.2 11.06 0.08 5.4 7.9
191 0.8 10.42 0.05 2.1 5.4
192 0.6 10.85 0.33 1.4 1.9
193 0.0 -inf nan 0.0 -0.0
194 0.2 11.6 0.07 12.4 6.1
195 0.0 11.29 0.08 0.0 19.4
196 0.6 10.06 0.32 9.7 6.2
197 0.2 9.71 0.02 11.0 9.4
198 0.0 -inf nan 0.0 -0.0
199 0.4 11.12 0.05 12.2 5.3
200 0.2 10.91 0.05 6.9 3.8
201 0.6 9.57 0.74 7.4 4.2
202 1.0 8.11 2.93 0.0 4.5
203 0.2 11.62 0.13 8.4 4.5
204 0.4 10.6 0.12 2.7 0.9
206 0.2 10.4 0.02 9.3 7.9
207 0.4 10.12 0.02 1.7 8.1
208 0.4 10.56 0.06 14.1 4.0
209 0.2 10.06 0.06 2.2 7.9
210 0.4 9.86 0.11 16.6 3.8
211 0.4 10.37 0.2 1.9 11.3
212 0.0 -inf nan 0.0 -0.0
213 0.4 10.36 0.07 17.0 6.6
214 0.2 10.77 0.03 10.9 5.2
215 0.2 11.18 0.02 3.1 4.9
216 0.4 10.55 0.02 9.2 7.1
217 0.2 11.11 0.08 5.8 11.9
218 0.2 10.92 0.03 13.9 0.8
219 0.0 11.04 0.02 0.0 5.8
220 0.0 11.08 0.02 0.0 4.9
221 0.6 9.81 0.13 11.4 2.4
222 0.2 9.92 0.02 6.1 9.4
223 0.2 10.79 0.02 13.0 2.9
224 0.0 -inf nan 0.0 -0.0
224 0.4 10.62 0.14 3.3 6.9
225 0.6 11.32 0.02 21.1 2.5
226 0.0 -inf nan 0.0 -0.0
227 0.0 -inf nan 0.0 -0.0
227 0.6 9.59 0.07 12.7 5.5
228 0.2 10.85 0.2 3.8 3.7
230 0.4 10.05 0.08 2.1 5.5
231 1.0 7.94 3.4 0.0 11.7
232 0.8 8.55 1.56 0.0 7.8
233 0.2 9.37 0.02 12.9 9.1
234 0.2 10.69 0.11 6.3 4.6
236 0.6 10.53 0.03 8.0 7.4
237 0.0 -inf nan 0.0 -0.0
238 0.8 10.63 0.32 0.8 3.3
239 0.8 11.13 0.15 2.2 3.4
240 0.4 10.37 0.12 1.7 5.1
241 0.0 -inf nan 0.0 -0.0
242 0.2 11.19 0.03 24.5 1.2
243 0.8 10.68 0.19 3.0 2.3
244 0.8 10.55 0.02 11.3 2.9
245 0.0 11.28 0.03 6.5 0.6
246 0.6 10.12 0.07 8.9 3.0
247 0.6 10.56 0.32 9.5 3.2
248 0.0 10.68 0.02 0.0 6.9
249 0.0 -inf nan 0.0 -0.0
250 0.2 9.88 0.45 1.7 5.3
251 0.2 11.43 0.19 3.2 3.2
252 0.6 10.62 0.15 2.1 1.7
253 0.8 11.38 0.18 5.2 2.6
254 0.0 -inf nan 0.0 -0.0
255 0.6 10.08 0.15 1.4 15.9
256 0.4 10.98 0.02 8.5 5.7
257 0.6 10.59 0.08 13.3 3.0
258 0.4 10.75 0.11 10.8 2.4
259 0.2 10.8 0.13 2.0 3.0
260 0.0 10.48 0.02 0.0 27.7
261 0.0 10.83 0.05 14.9 4.3
262 0.2 11.06 0.2 4.7 2.3
263 0.2 10.42 0.09 4.6 3.0
264 0.0 -inf nan 0.0 -0.0
265 0.2 10.98 0.02 18.2 6.7
266 0.4 10.15 0.02 1.8 7.3
267 0.4 10.8 0.07 10.5 7.1
268 0.2 10.0 0.08 1.7 25.7
269 0.8 9.07 1.21 0.0 10.0
270 0.0 -inf nan 0.0 -0.0
270 0.0 10.64 0.04 0.0 10.1
271 0.0 9.76 0.02 8.3 6.4
272 0.4 10.06 0.23 0.8 2.7
273 0.8 9.02 0.32 1.9 4.8
274 0.0 9.86 0.02 0.0 28.5
275 0.4 10.87 0.26 8.0 1.4
276 0.8 9.52 0.09 4.4 4.0
277 0.4 9.83 0.02 6.2 11.8
278 0.6 8.72 0.04 1.8 1.0
279 0.8 10.23 0.18 1.4 5.7
280 0.2 11.16 0.21 4.8 8.4
281 0.2 10.46 0.08 3.6 10.7
282 0.0 -inf nan 0.0 -0.0
283 1.0 8.0 1.87 0.0 21.5
285 0.0 10.61 0.03 5.8 3.7
286 1.0 8.95 1.27 0.0 4.9
287 0.4 10.76 0.02 21.1 2.9
288 0.6 10.88 0.19 2.4 17.8
289 0.4 10.36 0.04 9.1 7.1
290 0.8 9.43 1.46 0.0 3.5
292 0.2 10.83 0.05 7.7 2.1
293 0.0 9.99 0.04 7.7 10.0
294 0.8 11.45 0.02 10.2 4.3
295 0.2 10.3 0.09 2.5 9.4
296 0.2 10.88 0.02 9.2 1.1
297 0.4 10.75 0.06 10.9 4.8
300 0.0 10.57 0.02 0.0 2.4
301 0.2 11.06 0.09 7.4 3.5
303 0.4 10.87 0.02 9.5 3.1
305 0.4 10.15 0.42 0.5 13.0
306 0.6 11.05 0.05 6.7 4.9
307 0.8 10.83 0.23 1.1 3.7
308 0.0 -inf nan 0.0 -0.0
309 0.2 11.11 0.08 1.1 9.7
310 0.0 10.95 0.03 2.8 2.0
311 0.6 9.87 0.14 8.0 4.8
312 0.6 11.68 0.03 4.7 16.3
313 0.8 9.5 1.1 0.1 5.3
314 0.6 10.15 0.02 10.2 8.5
315 0.8 10.99 0.26 1.0 8.3
316 0.8 10.69 0.15 8.2 2.9
318 0.6 10.92 0.22 2.6 3.6
319 0.4 10.96 0.06 9.5 4.6
320 0.4 10.59 0.11 7.4 8.4
322 0.4 9.69 0.61 0.7 4.3
323 0.0 10.9 0.18 3.8 5.7
324 0.2 10.57 0.05 12.6 8.5
325 0.6 11.31 0.02 16.5 3.3
326 0.2 10.15 0.13 10.8 6.6
327 0.6 10.77 0.06 5.2 6.8
328 0.2 10.93 0.02 1.2 8.3
329 0.2 10.34 0.61 6.0 2.9
330 0.2 10.26 0.05 2.6 4.1
331 0.4 9.49 0.09 8.6 5.6
332 0.6 10.2 0.17 11.8 4.2
333 0.0 11.11 0.11 10.5 0.3
334 0.4 11.02 0.05 5.1 1.5
335 0.2 10.46 0.04 7.6 2.7
337 0.8 8.91 0.32 0.8 3.9
338 0.2 10.57 0.18 4.6 1.5
339 0.4 10.87 0.02 6.1 5.7
340 0.2 10.15 0.1 2.9 6.4
343 0.0 10.75 0.21 0.0 9.4
344 0.2 10.36 0.13 4.2 3.1
345 0.8 10.02 0.46 0.4 4.9
346 0.2 11.35 0.13 10.5 3.9
347 0.0 -inf nan 0.0 -0.0
348 0.2 11.56 0.07 11.4 1.3
350 0.0 10.58 0.02 0.0 26.6
351 0.2 10.22 0.11 8.6 2.8
352 0.2 10.9 0.02 12.9 2.6
353 0.4 10.44 0.02 8.5 3.7
354 0.0 -inf nan 0.0 -0.0
355 0.2 10.17 0.02 3.0 5.2
357 0.0 10.85 0.02 4.0 9.0
358 0.4 10.99 0.02 21.6 3.7
359 0.4 10.49 0.03 11.5 3.3
360 0.2 11.02 0.06 2.5 2.1
361 0.2 9.99 0.15 1.8 3.5
362 0.6 10.14 0.15 4.2 4.0
363 0.6 10.31 0.02 7.8 17.1
364 0.4 11.0 0.07 15.0 10.4
365 0.0 -inf nan 0.0 -0.0
366 0.0 -inf nan 0.0 -0.0
366 0.0 -inf nan 0.0 -0.0
366 0.6 10.61 0.02 14.7 8.7
367 0.0 -inf nan 0.0 -0.0
368 0.2 10.91 0.03 15.2 4.8
369 0.6 9.89 0.3 7.3 10.5
370 0.8 10.78 0.07 6.7 9.5
371 0.8 10.69 0.12 3.6 1.1
372 0.6 10.75 0.14 9.1 2.9
373 0.0 10.12 0.04 8.3 7.1
374 0.2 10.43 0.26 3.9 12.6
375 0.0 7.71 0.16 15.7 11.4
376 0.2 8.82 0.14 2.8 3.4
377 0.4 10.62 0.11 7.6 3.8
378 0.0 10.63 0.02 0.0 10.6
379 0.4 10.67 0.13 9.8 2.4
380 0.2 11.12 0.02 13.5 4.3
381 0.8 9.46 0.15 3.7 2.0
382 0.4 11.63 0.16 4.2 4.7
383 0.2 9.99 0.13 4.7 3.9
384 0.2 10.38 0.07 10.2 5.2
385 0.4 10.65 0.02 4.7 5.2
386 0.2 10.16 0.21 1.4 3.5
387 0.8 11.12 0.08 8.8 3.8
388 0.8 10.68 0.12 12.3 6.1
389 0.2 11.13 0.23 4.6 6.9
390 0.4 11.01 0.12 14.6 3.7
391 0.0 10.44 0.02 0.0 4.5
392 0.2 9.6 0.12 7.7 1.6
393 0.4 10.74 0.06 7.3 2.9
394 0.2 10.36 0.05 5.9 7.3
395 0.2 11.26 0.02 16.7 0.7
396 0.2 10.98 0.11 4.1 2.0
397 0.4 11.44 0.02 11.7 7.2
398 0.4 10.97 0.02 10.0 1.1
399 0.2 10.78 0.02 12.7 2.8
401 0.2 10.88 0.02 11.7 2.1
402 0.4 10.78 0.02 6.8 3.3
403 0.2 10.04 0.21 7.4 2.6
405 0.6 11.3 0.15 13.1 9.0
406 0.2 10.64 0.02 7.5 2.1
407 0.8 10.07 0.04 21.3 2.7
408 0.0 -inf nan 0.0 -0.0
410 0.0 10.16 0.02 1.5 5.5
411 0.2 11.17 0.03 14.6 1.8
412 0.0 -inf nan 0.0 -0.0
413 0.4 11.21 0.03 14.2 5.4
414 0.2 9.8 0.13 2.9 3.4
415 0.0 -inf nan 0.0 -0.0
416 0.4 9.68 0.12 18.0 1.9
417 0.0 -inf nan 0.0 -0.0
418 0.8 10.1 0.32 8.4 2.8
419 0.6 10.59 0.02 4.7 1.5
422 0.8 10.39 0.29 0.8 6.2
423 0.8 10.68 0.19 9.8 2.1
425 0.2 10.5 0.19 6.8 2.3
426 0.6 10.29 0.07 1.4 6.4
427 0.6 10.36 0.04 8.5 4.0
428 0.4 10.58 0.25 12.0 4.9
429 0.6 10.18 0.13 7.2 1.3
430 0.4 10.22 0.15 10.4 1.5
431 0.0 -inf nan 0.0 -0.0
432 0.6 10.48 0.16 5.0 3.8
433 0.0 -inf nan 0.0 -0.0
434 0.0 -7.75 0.07 0.0 25.7
435 0.4 10.46 0.1 8.2 6.4
436 0.8 10.75 0.18 1.0 6.0
437 0.0 10.63 0.13 12.6 4.1
438 0.0 11.76 0.03 0.0 23.9
439 0.6 10.58 0.09 12.0 1.7
440 0.8 10.54 0.04 14.7 4.2
441 0.0 -inf nan 0.0 -0.0
442 0.6 8.87 0.09 11.0 3.0
443 0.4 10.19 0.07 11.5 5.3
444 0.2 10.09 0.16 1.0 5.1
446 0.0 9.32 0.19 0.0 5.2
447 0.6 9.87 0.09 10.1 6.1
449 0.0 10.9 0.02 0.0 4.3
450 0.0 10.47 0.02 0.0 5.4
451 0.2 9.73 0.1 2.3 4.3
452 0.6 9.96 0.34 0.6 1.3
453 0.4 10.3 0.1 10.2 7.4
454 0.0 10.5 0.03 11.8 18.4
455 1.0 9.33 0.85 0.0 5.0
456 0.2 10.37 0.09 7.1 26.6
457 0.0 10.79 0.07 0.0 6.2
458 0.0 10.53 0.02 4.3 12.1
459 0.4 10.71 0.49 0.4 6.0
460 0.0 9.96 0.04 0.0 3.3
461 0.0 9.22 0.02 0.0 0.7
462 0.0 -inf nan 0.0 -0.0
463 0.4 10.41 0.3 14.2 7.1
464 0.4 11.1 0.02 7.9 0.8
466 0.0 -inf nan 0.0 -0.0
467 0.0 8.58 0.02 0.0 5.1
468 0.2 8.57 0.22 2.5 6.7
469 0.0 9.6 0.1 0.0 1.7
470 0.4 10.6 0.11 13.3 12.3
471 0.8 9.95 0.12 8.6 1.2
473 0.0 -inf nan 0.0 -0.0
474 0.0 10.25 0.02 0.0 7.7
476 0.4 8.11 0.47 0.4 4.5
477 0.2 10.37 0.02 5.0 6.4
478 0.0 10.87 0.02 0.7 2.3
479 0.2 11.28 0.02 14.2 4.8
480 0.0 9.97 0.02 0.0 5.3
481 0.0 11.09 0.02 9.1 1.4
482 0.2 11.05 0.02 8.2 2.0
483 0.4 9.65 0.35 0.4 1.9
484 0.2 9.82 0.17 3.5 3.4
485 0.0 10.8 0.04 10.0 0.7
486 0.0 9.38 0.05 0.0 5.5
487 0.0 -inf nan 0.0 -0.0
488 0.6 10.62 0.11 8.5 2.3
489 0.0 -inf nan 0.0 -0.0
490 0.0 10.85 0.03 1.0 17.9
491 0.0 10.42 0.02 0.0 5.6
