# 
# 
# 
Name RA dec g SNR sigma_LB lgM dchi2 lgtau z_ph z_ph_plus z_ph_minus z_sp "z_sp source" W1-W2 lgF Field z_simb r_z_simb z_ozdes z_desi z_best ID comment
J032843.39-282123.24 52.1808 -28.3565 20.5 25.4 19.6 "$10.3 \pm 0.6$" 0.0 "$3.4 \pm 0.4$" 1.05 0.05 0.20 1.0418 2dF 0.7 nan SN-C3 -1.0 "" -1.0 -1.0 1.0418 63 ""
J032832.98-282411.25 52.1374 -28.4031 22.1 22.3 18.0 "$9.6 \pm 0.5$" 0.2 "$2.0 \pm 0.3$" 0.55 0.15 0.30 nan None 0.7 nan SN-C3 -1.0 "" -1.0 -1.0 0.55 64 ""
J032719.40-281833.83 51.8308 -28.3094 23.3 6.1 12.6 "$10.5 \pm 0.2$" 2.8 "$3.3 \pm 0.5$" 0.87 0.02 0.01 nan None 1.6 nan SN-C3 -1.0 "" -1.0 -1.0 0.87 65 ""
J032718.71-281857.94 51.828 -28.3161 18.9 25.6 19.8 "$10.2 \pm 0.1$" 2.3 "$2.6 \pm 0.8$" 0.65 0.10 0.20 nan None 0.9 nan SN-C3 0.634 2017AJ....153..107T 0.6335499882698059 -1.0 0.6335499882698059 66 ""
J032731.29-281737.61 51.8804 -28.2938 24.2 8.1 9.2 "$8.5 \pm 0.6$" 0.2 "$2.9 \pm 0.8$" 0.37 0.03 0.01 nan None 18.4 nan SN-C3 -1.0 "" -1.0 -1.0 0.37 67 ""
J033020.28-281701.85 52.5845 -28.2838 23.7 7.2 9.1 "$7.5 \pm 0.5$" 0.1 "$2.2 \pm 0.6$" 0.25 0.01 0.02 nan None nan nan SN-C3 -1.0 "" -1.0 -1.0 0.25 68 ""
J032952.23-282257.49 52.4676 -28.3826 23.3 16.5 15.5 "$7.8 \pm 0.5$" 0.0 "$2.8 \pm 0.8$" 0.21 0.01 0.02 nan None 22.5 nan SN-C3 -1.0 "" -1.0 -1.0 0.21 69 ""
J032949.21-282235.61 52.455 -28.3766 24.0 4.6 12.4 "$10.8 \pm 0.2$" 2.4 "$2.9 \pm 0.8$" 1.02 0.03 0.04 nan None 0.6 nan SN-C3 -1.0 "" -1.0 -1.0 1.02 70 ""
J033001.12-282437.32 52.5047 -28.4104 24.2 7.6 8.7 "$10.8 \pm 0.3$" 0.9 "$2.5 \pm 0.9$" 1.27 0.01 0.02 nan None 0.8 nan SN-C3 -1.0 "" -1.0 -1.0 1.27 71 ""
J032724.95-274202.79 51.8539 -27.7008 19.6 25.6 19.8 "$9.8 \pm 0.4$" 0.3 "$2.3 \pm 0.6$" 0.75 0.45 0.15 nan None 1.1 nan SN-C3 0.7552 2012MNRAS.426.3334M 0.7564899921417236 -1.0 0.7564899921417236 72 ""
J032742.23-274537.55 51.926 -27.7604 23.5 14.7 12.4 "$10.0 \pm 0.6$" 0.0 "$3.0 \pm 0.7$" 1.02 0.03 0.04 nan None 18.0 nan SN-C3 -1.0 "" -1.0 -1.0 1.02 73 ""
J032655.04-274536.71 51.7293 -27.7602 21.7 18.0 14.5 "$10.3 \pm 0.5$" 0.1 "$2.2 \pm 0.6$" 1.2 0.15 0.35 nan None 0.7 nan SN-C3 -1.0 "" -1.0 -1.0 1.2 74 ""
J032838.39-274650.56 52.16 -27.7807 21.8 22.5 17.6 "$7.9 \pm 0.4$" 0.1 "$3.0 \pm 0.7$" 0.18 0.01 0.03 nan None 1.1 nan SN-C3 -1.0 "" -1.0 -1.0 0.18 75 ""
J032840.21-274711.05 52.1675 -27.7864 23.9 7.0 10.3 "$8.6 \pm 0.2$" 5.4 "$3.4 \pm 0.6$" 0.24 0.01 0.04 nan None 22.5 nan SN-C3 -1.0 "" -1.0 -1.0 0.24 76 ""
J032847.47-275354.21 52.1978 -27.8984 23.4 15.5 15.8 "$9.9 \pm 0.4$" 0.2 "$2.7 \pm 0.8$" 1.3 0.05 0.10 nan None 0.9 nan SN-C3 -1.0 "" 1.1760599613189697 -1.0 1.1760599613189697 77 ""
J033203.19-272836.76 53.0133 -27.4769 23.3 16.8 14.9 "$10.7 \pm 0.2$" 1.3 "$2.4 \pm 0.7$" 1.3 0.10 0.05 nan None 17.3 nan SN-C3 -1.0 "" -1.0 -1.0 1.3 78 ""
J033238.71-272744.96 53.1613 -27.4625 23.6 6.6 11.9 "$8.1 \pm 0.5$" 0.0 "$2.3 \pm 0.5$" 0.31 0.02 0.02 nan None nan nan SN-C3 -1.0 "" -1.0 -1.0 0.31 79 ""
J033206.33-272734.48 53.0264 -27.4596 21.9 23.8 18.8 "$9.7 \pm 0.4$" 0.0 "$2.2 \pm 0.6$" 1.4 0.10 0.15 nan None 0.7 nan SN-C3 -1.0 "" -1.0 -1.0 1.4 80 ""
J033151.74-273226.32 52.9656 -27.5406 21.0 24.1 18.6 "$10.0 \pm 0.3$" 0.4 "$2.0 \pm 0.5$" 1.3 0.10 0.65 1.2924 2dF 1.1 nan SN-C3 -1.0 "" -1.0 -1.0 1.2924 81 ""
J033212.84-273153.77 53.0535 -27.5316 23.8 7.0 9.2 "$10.8 \pm 0.2$" 1.4 "$2.3 \pm 0.7$" 1.1 0.01 0.02 nan None 0.5 nan SN-C3 -1.0 "" -1.0 -1.0 1.1 82 ""
J033131.27-273429.74 52.8803 -27.5749 23.2 20.4 17.4 "$9.7 \pm 0.6$" 0.0 "$2.7 \pm 0.8$" 1.0 0.03 0.02 nan None 0.4 -14.34 SN-C3 0.688 2010ApJS..191..124S -1.0 -1.0 0.688 83 ""
J033150.41-273540.47 52.9601 -27.5946 23.3 13.5 14.1 "$9.1 \pm 0.3$" 0.3 "$2.6 \pm 0.9$" 1.13 0.02 0.03 nan None 18.5 nan SN-C3 -1.0 "" -1.0 -1.0 1.13 84 ""
J032832.71-275802.30 52.1363 -27.9673 22.9 19.1 16.6 "$9.7 \pm 0.4$" 0.1 "$2.7 \pm 0.7$" 0.75 0.02 0.01 nan None 17.8 nan SN-C3 -1.0 "" -1.0 -1.0 0.75 85 ""
J032927.46-280112.70 52.3644 -28.0202 24.2 8.9 6.2 "$9.9 \pm 0.3$" 0.6 "$2.4 \pm 0.9$" 0.75 0.02 0.04 nan None 18.1 nan SN-C3 -1.0 "" -1.0 -1.0 0.75 86 ""
J032951.41-280315.59 52.4642 -28.0543 23.0 10.4 10.2 "$9.5 \pm 0.5$" 0.0 "$2.7 \pm 0.8$" 1.08 0.03 0.02 nan None 0.7 nan SN-C3 -1.0 "" -1.0 -1.0 1.08 87 ""
J033139.25-273752.39 52.9136 -27.6312 22.3 23.9 19.0 "$10.0 \pm 0.5$" 0.2 "$2.1 \pm 0.5$" 1.25 0.05 0.10 1.4296 ACES 0.8 -14.25 SN-C3 1.425 2010ApJS..191..124S -1.0 -1.0 1.425 88 ""
J033043.25-274141.40 52.6802 -27.6948 21.5 24.5 19.1 "$7.5 \pm 0.2$" 1.7 "$2.5 \pm 0.6$" 0.09 0.01 0.01 1.9013 2dF 18.6 nan SN-C3 -1.0 "" -1.0 -1.0 1.9013 89 ""
J033149.54-274319.74 52.9564 -27.7222 22.5 20.6 16.3 "$10.2 \pm 0.6$" 0.0 "$1.7 \pm 0.3$" 1.25 0.15 0.10 1.3185 2dF 0.8 -14.31 SN-C3 1.32 2010ApJS..191..124S -1.0 -1.0 1.32 90 ""
J033039.70-274455.53 52.6654 -27.7488 21.9 23.3 17.7 "$9.5 \pm 0.5$" 0.0 "$1.8 \pm 0.2$" 0.7 0.25 0.05 nan None 0.6 nan SN-C3 -1.0 "" -1.0 -1.0 0.7 91 ""
J032924.43-281154.31 52.3518 -28.1984 22.4 21.6 17.7 "$6.8 \pm 0.3$" 0.4 "$2.7 \pm 0.8$" 0.07 0.02 0.02 nan None 1.1 nan SN-C3 -1.0 "" -1.0 -1.0 0.07 92 ""
J032922.39-281347.55 52.3433 -28.2299 21.3 25.3 19.8 "$7.9 \pm 0.5$" 0.0 "$3.4 \pm 0.6$" 0.12 0.02 0.04 1.5926 2dF 1.1 nan SN-C3 -1.0 "" -1.0 -1.0 1.5926 93 ""
J032802.19-273827.21 52.0091 -27.6409 22.9 11.3 11.6 "$9.9 \pm 0.5$" 0.3 "$1.6 \pm 0.3$" 1.05 0.10 0.05 nan None 17.5 nan SN-C3 -1.0 "" -1.0 -1.0 1.05 94 ""
J032835.47-273703.65 52.1478 -27.6177 23.2 16.4 16.3 "$10.0 \pm 0.5$" 0.1 "$2.4 \pm 0.8$" 1.02 0.01 0.01 nan None 17.6 nan SN-C3 -1.0 "" 0.8180199861526489 -1.0 0.8180199861526489 95 ""
J032811.14-273954.33 52.0464 -27.6651 22.4 20.6 18.2 "$7.8 \pm 0.5$" 0.0 "$2.7 \pm 0.8$" 0.21 0.02 0.02 nan None 18.2 nan SN-C3 -1.0 "" -1.0 -1.0 0.21 96 ""
J033255.71-272817.41 53.2321 -27.4715 22.6 18.9 15.3 "$9.8 \pm 0.4$" 0.2 "$1.6 \pm 0.2$" 1.3 0.15 0.15 nan None 17.4 nan SN-C3 -1.0 "" -1.0 -1.0 1.3 97 ""
J033253.50-273111.00 53.2229 -27.5197 23.8 15.0 12.6 "$8.0 \pm 0.8$" 0.0 "$3.5 \pm 0.5$" 0.25 0.01 0.02 nan None nan nan SN-C3 -1.0 "" -1.0 -1.0 0.25 98 ""
J033244.28-273403.53 53.1845 -27.5676 22.9 20.2 15.5 "$6.9 \pm 0.4$" 0.2 "$2.1 \pm 0.3$" 0.07 0.02 0.03 nan None 18.0 nan SN-C3 -1.0 "" -1.0 -1.0 0.07 99 ""
J032727.74-274705.37 51.8656 -27.7848 24.2 7.1 8.8 "$7.6 \pm 0.5$" 0.0 "$2.6 \pm 0.7$" 0.25 0.01 0.02 nan None nan nan SN-C3 -1.0 "" -1.0 -1.0 0.25 100 ""
J032656.77-274729.22 51.7365 -27.7914 20.6 25.1 19.1 "$10.0 \pm 0.2$" 1.1 "$2.2 \pm 0.5$" 1.1 0.55 0.50 1.1321 2dF 1.0 nan SN-C3 -1.0 "" -1.0 -1.0 1.1321 101 ""
J032659.87-275015.50 51.7494 -27.8376 22.1 20.6 17.2 "$9.5 \pm 0.2$" 1.1 "$2.0 \pm 0.4$" 1.1 0.10 0.15 nan None 1.3 nan SN-C3 -1.0 "" -1.0 -1.0 1.1 102 ""
J032707.91-274859.87 51.783 -27.8166 23.4 15.5 13.7 "$7.7 \pm 0.6$" 0.1 "$2.3 \pm 0.4$" 0.25 0.03 0.03 nan None nan nan SN-C3 -1.0 "" -1.0 -1.0 0.25 103 ""
J033230.15-280804.51 53.1256 -28.1346 22.9 22.4 17.8 "$9.6 \pm 0.4$" 0.0 "$2.1 \pm 0.5$" 1.35 0.30 0.20 nan None 0.9 nan SN-C3 -1.0 "" -1.0 -1.0 1.35 104 ""
J033144.22-280714.36 52.9343 -28.1207 23.2 17.4 16.6 "$10.8 \pm 0.3$" 0.4 "$2.4 \pm 0.8$" 1.15 0.35 0.10 nan None 0.7 nan SN-C3 -1.0 "" -1.0 -1.0 1.15 105 ""
J033122.72-281110.15 52.8447 -28.1862 23.0 21.4 17.9 "$7.6 \pm 0.4$" 0.2 "$2.7 \pm 0.8$" 0.17 0.01 0.02 nan None 18.6 nan SN-C3 -1.0 "" -1.0 -1.0 0.17 106 ""
J033131.57-281457.52 52.8815 -28.2493 23.4 18.6 16.3 "$8.7 \pm 0.6$" 0.0 "$2.6 \pm 0.8$" 0.72 0.01 0.01 nan None nan nan SN-C3 -1.0 "" -1.0 -1.0 0.72 107 ""
J033216.14-275644.24 53.0673 -27.9456 22.6 13.3 11.3 "$6.8 \pm 0.3$" 1.4 "$2.2 \pm 0.6$" 0.06 0.03 0.01 2.6719 ACES nan -15.26 SN-C3 -1.0 "" -1.0 -1.0 2.6666 108 "SIMBAD shows two objects (0.33 and 0.05 arcsec seperation), but we believe they are the same object. The closer seperation object (0.05 arcsec) doesnt"
